PROJECT	SPECTRA_IN_REL_CLUSTERS	CORRECT_SPECTRA	INCORRECT_SPECTRA	CONTAMINANT_CORRECT_SPECTRA	CONTAMINANT_INCORRECT_SPECTRA
PXD000384	23	23	NA	20	NA
PXD000385	17689	17382	307	1485	4
PXD000387	57608	55580	2028	4324	204
PXD000402	4008	7	4001	NA	13
PXD000403	241885	239911	1974	NA	10
PXD000411	609	599	10	NA	NA
PXD000412	8012	6806	1206	952	142
PXD000417	66	57	9	NA	7
PXD000426	67182	66863	319	1006	25
PXD000429	467938	466220	1718	29125	445
PXD000433	9486	8933	553	17	19
PXD000435	42116	40063	2053	27	109
PXD000440	25	25	NA	1	NA
PXD000442	152871	152627	244	9838	16
PXD000443	127711	127490	221	2733	12
PXD000445	128997	128204	793	11835	36
PXD000447	41905	41827	78	3900	6
PXD000449	205028	204498	530	7874	11
PXD000450	5701	5681	20	24	NA
PXD000454	2710	2704	6	259	NA
PXD000455	443358	438847	4511	29146	91
PXD000457	59046	58276	770	17484	217
PXD000460	68	68	NA	59	NA
PXD000461	39520	37080	2440	1049	96
PXD000464	1234	1028	206	NA	58
PXD000472	11028	10924	104	12	NA
PXD000475	460	420	40	36	6
PXD000488	12992	12673	319	288	22
PXD000500	133	130	3	39	NA
PXD000504	3870	3819	51	218	3
PXD000505	4691	4628	63	222	8
PXD000509	100	100	NA	NA	NA
PXD000529	260162	253175	6987	4389	213
PXD000532	52	49	3	1	NA
PXD000533	287903	283333	4570	3862	33
PXD000534	197641	155061	42580	11100	2475
PXD000535	330316	324114	6202	6665	96
PXD000536	7284	7196	88	503	4
PXD000543	47078	44213	2865	1041	47
PXD000557	4122	3923	199	90	1
PXD000558	17339	16850	489	217	51
PXD000579	10	10	NA	NA	NA
PXD000580	2959	2867	92	NA	NA
PXD000581	300	300	NA	NA	NA
PXD000593	97598	46485	51113	8607	9703
PXD000594	461	388	73	NA	28
PXD000603	5613	5506	107	1402	35
PXD000605	289299	267546	21753	15975	1096
PXD000623	21582	20860	722	484	19
PXD000624	61172	60312	860	2976	27
PXD000625	427749	414453	13296	4121	243
PXD000629	5665	5497	168	4206	49
PXD000631	69286	67622	1664	NA	54
PXD000637	30472	28944	1528	271	35
PXD000638	29168	27781	1387	282	29
PXD000651	90000	81002	8998	34622	4366
PXD000652	122355	115443	6912	14095	2036
PXD000653	11209	10118	1091	3019	467
PXD000654	130371	121607	8764	10572	1440
PXD000655	13382	12170	1212	5245	523
PXD000656	30752	28823	1929	11410	624
PXD000657	90904	82557	8347	7901	1289
PXD000662	107	92	15	NA	NA
PXD000674	2684	2572	112	53	12
PXD000682	236163	235655	508	5593	14
PXD000688	1361	1361	NA	222	NA
PXD000692	6061	5962	99	NA	3
PXD000693	25226	24534	692	1	11
PXD000694	110612	98549	12063	2767	636
PXD000722	1781	1754	27	38	NA
PXD000732	4281	4239	42	NA	3
PXD000743	25504	22006	3498	5005	320
PXD000746	182817	181452	1365	8553	19
PXD000756	177717	171545	6172	17775	830
PXD000764	29961	29632	329	12224	31
PXD000765	2789	2783	6	1626	4
PXD000768	488	467	21	12	NA
PXD000769	293	280	13	9	NA
PXD000780	92213	91853	360	NA	44
PXD000781	10450	8391	2059	663	294
PXD000783	361664	361550	114	344	NA
PXD000786	6567	6488	79	613	1
PXD000807	10301	10264	37	1954	4
